Airport,Initial_z_score,Delay_Score,Datetime
TPA,0.6390740607019354,0.7540456178167817,2023-06-01 12:00:00
ATL,2.202928939777788,1.3682175389395796,2023-06-01 13:00:00
AUS,0.7371674361837721,1.2084899454821292,2023-06-01 13:00:00
BNA,1.3417067729814154,1.2567711165641045,2023-06-01 13:00:00
BOS,1.3925527236868316,1.256066148952468,2023-06-01 13:00:00
BWI,0.2325044009613363,1.1367440210470194,2023-06-01 13:00:00
CLT,1.1674966780768694,1.2361111766170543,2023-06-01 13:00:00
DCA,0.0,1.0908036081469832,2023-06-01 13:00:00
DEN,2.2565863291066552,1.3941798398091922,2023-06-01 13:00:00
DFW,4.5251808230729615,1.7180690172599102,2023-06-01 13:00:00
DTW,0.4524507340775079,1.12905292620551,2023-06-01 13:00:00
EWR,0.5718685479621857,1.1223916036820463,2023-06-01 13:00:00
FLL,2.0976107828142885,1.3842848931965583,2023-06-01 13:00:00
IAD,0.5718685479621857,1.149209762480713,2023-06-01 13:00:00
IAH,0.934992277115533,1.1991078961939199,2023-06-01 13:00:00
JFK,0.20373160720712138,1.091404328289483,2023-06-01 13:00:00
LAS,2.7303615015870046,1.449126582472542,2023-06-01 13:00:00
LAX,1.2197089792217972,1.232537284052821,2023-06-01 13:00:00
LGA,0.8404630419284908,1.1954533631585904,2023-06-01 13:00:00
MCO,2.3171405402766014,1.3647784500738882,2023-06-01 13:00:00
MDW,0.4065696597405991,1.1012033078895271,2023-06-01 13:00:00
MIA,0.7321542245820554,1.1777841467907448,2023-06-01 13:00:00
MSP,0.5718685479621857,1.1403541324982482,2023-06-01 13:00:00
ORD,1.4095684865004343,1.2548983447033555,2023-06-01 13:00:00
PHL,1.4123315898906763,1.2975221473975238,2023-06-01 13:00:00
PHX,0.4065696597405991,1.112438013766392,2023-06-01 13:00:00
SAN,0.0,1.072874639459804,2023-06-01 13:00:00
SEA,0.0,1.052563430518561,2023-06-01 13:00:00
SFO,3.439417958443595,1.5626139416490643,2023-06-01 13:00:00
SLC,0.06720551273974976,1.0791291953835425,2023-06-01 13:00:00
TPA,1.072967442889827,1.168397519940009,2023-06-01 13:00:00
ATL,2.50385638467012,1.5844823521163867,2023-06-01 14:00:00
AUS,0.299709913701086,1.2776843312383492,2023-06-01 14:00:00
BNA,1.760689664441896,1.4736576992659491,2023-06-01 14:00:00
BOS,0.561653106097587,1.296332372321918,2023-06-01 14:00:00
BWI,0.5010988949276414,1.2897585478608085,2023-06-01 14:00:00
